"tipologia","nodo","conteo","porcentaje"
"T1",1,0,0
"T2",1,0,0
"T2",2,0,0
"T3",1,0,0
"T3",2,0,0
"T3",3,0,0
"T4",1,0,0
"T4",2,0,0
"T5",1,0,0
"T5",2,0,0
"T5",3,0,0
"T5",4,0,0
"T6",1,0,0
"T6",2,0,0
"T6",3,0,0
"T7",1,0,0
"T7",2,0,0
"T7",3,0,0
"T7",4,0,0
"T7",5,0,0
"T8",1,0,0
"T8",2,0,0
"T9",1,0,0
"T9",2,0,0
"T9",3,0,0
"T9",4,0,0
"T10",1,0,0
"T10",2,0,0
"T10",3,0,0
"T11",1,0,0
"T11",2,0,0
"T11",3,0,0
"T12",1,0,0
"T12",2,0,0
"T12",3,0,0
"T13",1,0,0
"T13",2,0,0
"T13",3,0,0
"T14",1,0,0
"T14",2,0,0
"T14",3,0,0
"T14",4,0,0
"T15",1,0,0
"T15",2,0,0
"T15",3,0,0
"T15",4,0,0
"T16",1,0,0
"T16",2,0,0
"T16",3,0,0
"T16",4,0,0
"T17",1,0,0
"T17",2,0,0
"T17",3,0,0
"T17",4,0,0
"T18",1,0,0
"T18",2,0,0
"T18",3,0,0
"T18",4,0,0
"T19",1,0,0
"T19",2,0,0
"T19",3,0,0
"T19",4,0,0
"T20",1,0,0
"T20",2,0,0
"T20",3,0,0
"T21",1,0,0
"T21",2,0,0
"T21",3,0,0
"T22",1,0,0
"T22",2,0,0
"T22",3,0,0
"T22",4,0,0
"T22",5,0,0
"T23",1,0,0
"T23",2,0,0
"T23",3,0,0
"T23",4,0,0
"T23",5,0,0
"T24",1,0,0
"T24",2,0,0
"T24",3,0,0
"T24",4,0,0
"T24",5,0,0
"T24",6,0,0
"T25",1,0,0
"T25",2,0,0
"T25",3,0,0
"T25",4,0,0
"T26",1,0,0
"T26",2,0,0
"T26",3,0,0
"T26",4,0,0
"T27",1,0,0
"T27",2,0,0
"T27",3,0,0
"T27",4,0,0
"T27",5,0,0
"T28",1,0,0
"T28",2,0,0
"T28",3,0,0
"T28",4,0,0
"T28",5,0,0
"T29",1,0,0
"T29",2,0,0
"T29",3,0,0
"T29",4,0,0
"T29",5,0,0
"T30",1,0,0
"T30",2,0,0
"T30",3,0,0
"T30",4,0,0
"T31",1,0,0
"T31",2,0,0
"T31",3,0,0
"T31",4,0,0
"T31",5,0,0
"T32",1,0,0
"T32",2,0,0
"T32",3,0,0
"T32",4,0,0
"T32",5,0,0
"T33",1,0,0
"T33",2,0,0
"T33",3,0,0
"T33",4,0,0
"T34",1,0,0
"T34",2,0,0
"T34",3,0,0
"T34",4,0,0
"T34",5,0,0
"T35",1,0,0
"T35",2,0,0
"T35",3,0,0
"T35",4,0,0
"T36",1,0,0
"T36",2,0,0
"T36",3,0,0
"T36",4,0,0
"T36",5,0,0
"T37",1,0,0
"T37",2,0,0
"T37",3,0,0
"T37",4,0,0
"T37",5,0,0
"T38",1,0,0
"T38",2,0,0
"T38",3,0,0
"T38",4,0,0
"T38",5,0,0
"T39",1,0,0
"T39",2,0,0
"T39",3,0,0
"T39",4,0,0
"T39",5,0,0
"T39",6,0,0
"T40",1,0,0
"T40",2,0,0
"T40",3,0,0
"T40",4,0,0
"T40",5,0,0
"T40",6,0,0
"T41",1,0,0
"T41",2,0,0
"T41",3,0,0
"T41",4,0,0
"T42",1,0,0
"T42",2,0,0
"T42",3,0,0
"T42",4,0,0
"T42",5,0,0
"T42",6,0,0
"T43",1,0,0
"T43",2,0,0
"T43",3,0,0
"T43",4,0,0
"T43",5,0,0
"T43",6,0,0
"T44",1,0,0
"T44",2,0,0
"T44",3,0,0
"T44",4,0,0
"T44",5,0,0
"T44",6,0,0
"T45",1,0,0
"T45",2,0,0
"T45",3,0,0
"T45",4,0,0
"T46",1,0,0
"T46",2,0,0
"T46",3,0,0
"T46",4,0,0
"T46",5,0,0
"T47",1,0,0
"T47",2,0,0
"T47",3,0,0
"T47",4,0,0
"T47",5,0,0
"T47",6,0,0
"T48",1,0,0
"T48",2,0,0
"T48",3,0,0
"T48",4,0,0
