Tipologia,Frecuencia,Porcentaje,Nodos,Aristas,Densidad,Frecuencia_acumulada
T1,10371,16.49,1,0,NA,16.49
T2,9009,14.32,2,2,1,30.81
T3,6721,10.68,3,4,0.6667,41.49
T4,6616,10.52,2,1,0.5,52.01
T5,5395,8.58,4,6,0.5,60.59
T6,3875,6.16,3,2,0.3333,66.75
T7,1718,2.73,5,8,0.4,69.48
T8,1637,2.6,2,0,0,72.08
T9,1377,2.19,4,3,0.25,74.27
T10,1053,1.67,3,2,0.3333,75.94
T11,909,1.44,3,2,0.3333,77.38
T12,832,1.32,3,3,0.5,78.7
T13,685,1.09,3,1,0.1667,79.79
T14,658,1.05,4,5,0.4167,80.84
T15,578,0.92,4,5,0.4167,81.76
T16,479,0.76,4,4,0.3333,82.52
T17,453,0.72,4,3,0.25,83.24
T18,438,0.7,4,5,0.4167,83.94
T19,425,0.68,4,3,0.25,84.62
T20,420,0.67,3,3,0.5,85.29
T21,383,0.61,3,0,0,85.9
T22,365,0.58,5,7,0.35,86.48
T23,349,0.55,5,7,0.35,87.03
T24,303,0.48,6,10,0.3333,87.51
T25,302,0.48,4,4,0.3333,87.99
T26,289,0.46,4,2,0.1667,88.45
T27,277,0.44,5,4,0.2,88.89
T28,256,0.41,5,7,0.35,89.3
T29,249,0.4,5,6,0.3,89.7
T30,202,0.32,4,2,0.1667,90.02
T31,201,0.32,5,6,0.3,90.34
T32,144,0.23,5,4,0.2,90.57
T33,143,0.23,4,1,0.0833,90.8
T34,138,0.22,5,8,0.4,91.02
T35,138,0.22,4,6,0.5,91.24
T36,136,0.22,5,4,0.2,91.46
T37,128,0.2,5,6,0.3,91.66
T38,120,0.19,5,4,0.2,91.85
T39,102,0.16,6,9,0.3,92.01
T40,101,0.16,6,10,0.3333,92.17
T41,100,0.16,4,2,0.1667,92.33
T42,99,0.16,6,9,0.3,92.49
T43,95,0.15,6,8,0.2667,92.64
T44,92,0.15,6,10,0.3333,92.79
T45,89,0.14,4,0,0,92.93
T46,87,0.14,5,5,0.25,93.07
T47,86,0.14,6,8,0.2667,93.21
T48,84,0.13,4,4,0.3333,93.34
T49,77,0.12,5,3,0.15,93.46
T50,74,0.12,4,3,0.25,93.58
T51,70,0.11,5,6,0.3,93.69
T52,66,0.1,4,4,0.3333,93.79
T53,65,0.1,5,8,0.4,93.89
T54,57,0.09,5,4,0.2,93.98
T55,57,0.09,4,3,0.25,94.07
T56,52,0.08,4,4,0.3333,94.15
T57,49,0.08,6,8,0.2667,94.23
T58,48,0.08,6,7,0.2333,94.31
T59,46,0.07,4,3,0.25,94.38
T60,46,0.07,6,5,0.1667,94.45
T61,46,0.07,4,2,0.1667,94.52
T62,42,0.07,6,9,0.3,94.59
T63,42,0.07,5,6,0.3,94.66
T64,39,0.06,5,3,0.15,94.72
T65,39,0.06,7,12,0.2857,94.78
T66,37,0.06,5,5,0.25,94.84
T67,34,0.05,4,4,0.3333,94.89
T68,33,0.05,6,10,0.3333,94.94
T69,32,0.05,5,5,0.25,94.99
T70,32,0.05,7,12,0.2857,95.04
T71,32,0.05,6,5,0.1667,95.09
T72,32,0.05,4,3,0.25,95.14
T73,31,0.05,5,2,0.1,95.19
T74,31,0.05,5,3,0.15,95.24
T75,30,0.05,6,8,0.2667,95.29
T76,30,0.05,5,5,0.25,95.34
T77,30,0.05,4,4,0.3333,95.39
T78,29,0.05,5,2,0.1,95.44
T79,29,0.05,5,5,0.25,95.49
T80,28,0.04,7,12,0.2857,95.53
T81,28,0.04,6,5,0.1667,95.57
T82,28,0.04,5,4,0.2,95.61
T83,27,0.04,6,7,0.2333,95.65
T84,27,0.04,6,8,0.2667,95.69
T85,26,0.04,6,6,0.2,95.73
T86,26,0.04,7,11,0.2619,95.77
T87,26,0.04,5,6,0.3,95.81
T88,25,0.04,5,1,0.05,95.85
T89,25,0.04,7,9,0.2143,95.89
T90,25,0.04,5,4,0.2,95.93
T91,24,0.04,6,4,0.1333,95.97
T92,24,0.04,5,6,0.3,96.01
T93,23,0.04,5,5,0.25,96.05
