"Tipologia","macrogrupo","subcategoria","intergeneracional"
"T1","Isolated",NA,0
"T2","Chidless Couple",NA,0
"T3","Tradicional Nuclear",NA,0
"T4","Single-Parent",NA,0
"T5","Tradicional Nuclear",NA,0
"T6","Single-Parent",NA,0
"T7","Tradicional Nuclear",NA,0
"T8","Isolated",NA,0
"T9","Single-Parent",NA,0
"T10","Extended","Complex",1
"T11","Extended","Extended couple",0
"T12","Extended","Reconstituted",0
"T13","Extended","Extended single-parent",0
"T14","Extended","Reconstituted",0
"T15","Extended","Complex",1
"T16","Extended","Extended couple",0
"T17","Extended","Complex",1
"T18","Extended","Complex",0
"T19","Extended","Complex",1
"T20","Extended","Complex",0
"T21","Isolated",NA,0
"T22","Extended","Complex",1
"T23","Extended","Complex",0
"T24","Tradicional Nuclear",NA,0
"T25","Extended","Reconstituted",0
"T26","Extended","Extended single-parent",0
"T27","Single-Parent",NA,0
"T28","Extended","Reconstituted",0
"T29","Extended","Extended couple",0
"T30","Extended","Extended couple",0
"T31","Extended","Complex",1
"T32","Extended","Complex",1
"T33","Extended","Extended single-parent",0
"T34","Extended","Complex",0
"T35","Extended","Complex",0
"T36","Extended","Complex",1
"T37","Extended","Reconstituted",0
"T38","Extended","Complex",1
"T39","Extended","Complex",0
"T40","Extended","Complex",0
"T41","Extended","Complex",1
"T42","Extended","Complex",1
"T43","Extended","Extended couple",0
"T44","Extended","Complex",0
"T45","Isolated",NA,0
"T46","Extended","Reconstituted",0
"T47","Extended","Complex",1
"T48","Extended","Complex",1
