"Tipologia","intergeneracional","padrastros","suegros","nodos_aislados","monoparental","pareja_sin_hijos"
"T1",0,0,0,1,0,0
"T2",0,0,0,0,0,1
"T3",0,0,0,0,0,0
"T4",0,0,0,0,1,0
"T5",0,0,0,0,0,0
"T6",0,0,0,0,1,0
"T7",0,0,0,0,0,0
"T8",0,0,0,1,0,0
"T9",0,0,0,0,1,0
"T10",1,0,0,0,0,0
"T11",0,0,0,1,0,0
"T12",0,1,0,0,0,0
"T13",0,0,0,1,1,0
"T14",0,1,0,0,0,0
"T15",1,0,0,0,0,0
"T16",0,0,0,1,0,0
"T17",1,0,0,0,0,0
"T18",0,0,1,0,0,0
"T19",1,0,0,0,0,0
"T20",0,0,1,0,0,0
"T21",0,0,0,1,0,0
"T22",1,0,0,0,0,0
"T23",0,0,1,0,0,0
"T24",0,0,0,0,0,0
"T25",0,1,0,0,0,0
"T26",0,0,0,1,1,0
"T27",0,0,0,0,1,0
"T28",0,1,0,0,0,0
"T29",0,0,0,1,0,0
"T30",0,0,0,1,0,0
"T31",1,0,0,0,0,0
"T32",1,0,0,0,0,0
"T33",0,0,0,1,1,0
"T34",0,0,1,0,0,0
"T35",0,0,1,0,0,0
"T36",1,0,0,0,0,0
"T37",0,1,0,0,0,0
"T38",1,0,0,0,0,0
"T39",0,0,1,0,0,0
"T40",0,0,1,0,0,0
"T41",1,0,0,1,0,0
"T42",1,0,0,0,0,0
"T43",0,0,0,1,0,0
"T44",0,0,1,0,0,0
"T45",0,0,0,1,0,0
"T46",0,1,0,0,0,0
"T47",1,0,0,0,0,0
"T48",1,1,0,0,0,0
"T49",0,0,0,1,1,0
"T50",0,1,0,1,0,0
"T51",0,0,1,0,0,0
"T52",0,0,1,0,0,0
"T53",0,0,1,0,0,0
"T54",0,0,0,1,0,0
"T55",0,0,0,0,0,0
"T56",0,1,1,0,0,0
"T57",0,0,1,0,0,0
"T58",1,0,0,0,0,0
"T59",0,0,1,1,0,0
"T60",0,0,0,0,1,0
"T61",0,0,0,0,0,0
"T62",0,1,0,0,0,0
"T63",0,1,1,0,0,0
"T64",1,0,0,1,0,0
"T65",0,0,0,0,0,0
"T66",1,0,0,1,0,0
"T67",0,1,0,0,0,0
"T68",0,0,1,0,0,0
"T69",0,0,1,1,0,0
"T70",0,0,1,0,0,0
"T71",1,0,0,0,0,0
"T72",1,0,0,0,0,0
"T73",0,0,0,1,1,0
"T74",1,0,0,1,0,0
"T75",0,1,0,0,0,0
"T76",0,1,0,0,0,0
"T77",0,0,0,0,0,0
"T78",0,0,0,1,0,0
"T79",1,1,0,0,0,0
"T80",0,0,1,0,0,0
"T81",1,0,0,0,0,0
"T82",1,0,0,0,0,0
"T83",1,0,0,1,0,0
"T84",1,0,0,0,0,0
"T85",0,0,0,1,0,0
"T86",1,0,0,0,0,0
"T87",1,1,0,0,0,0
"T88",0,0,0,1,1,0
"T89",1,0,0,0,0,0
"T90",1,0,0,0,0,0
"T91",0,0,0,1,1,0
"T92",0,1,0,0,0,0
"T93",0,1,0,1,0,0
"T94",0,0,0,0,0,0
"T95",0,0,0,0,0,0
"T96",0,1,0,0,0,0
"T97",0,1,1,0,0,0
"T98",1,1,0,0,0,0
"T99",0,0,1,0,0,0
"T100",1,0,0,0,0,0
"T101",0,0,1,0,0,0
"T102",0,1,1,0,0,0
"T103",0,0,1,0,0,0
"T104",0,0,1,1,0,0
"T105",1,0,0,0,0,0
"T106",1,0,0,0,0,0
"T107",0,1,0,1,0,0
"T108",0,1,1,0,0,0
"T109",0,0,0,1,1,0
"T110",0,1,0,0,0,0
"T111",1,0,0,0,0,0
"T112",0,1,1,0,0,0
"T113",1,0,1,0,0,0
"T114",0,0,0,1,0,0
"T115",0,1,1,0,0,0
"T116",0,0,0,0,0,0
"T117",1,0,0,0,0,0
"T118",0,0,0,0,0,0
"T119",0,1,1,0,0,0
"T120",1,0,0,0,0,0
"T121",1,0,0,0,0,0
"T122",0,1,0,1,0,0
"T123",0,1,1,0,0,0
"T124",0,0,0,1,0,0
"T125",0,1,0,1,0,0
"T126",0,1,0,0,0,0
"T127",0,0,0,1,0,0
"T128",1,0,0,1,0,0
"T129",0,0,1,1,0,0
"T130",0,0,1,0,0,0
"T131",0,1,1,0,0,0
"T132",1,0,0,0,0,0
"T133",1,0,1,0,0,0
"T134",0,0,0,1,0,0
"T135",0,0,0,1,0,0
"T136",0,0,0,0,1,0
"T137",0,0,1,0,0,0
"T138",1,0,1,0,0,0
"T139",0,0,0,1,0,0
"T140",1,0,0,1,0,0
"T141",1,0,0,1,0,0
"T142",1,1,0,1,0,0
"T143",1,0,0,0,0,0
"T144",1,0,0,0,0,0
"T145",1,1,0,0,0,0
"T146",0,1,1,0,0,0
"T147",1,1,0,0,0,0
"T148",1,0,1,0,0,0
"T149",0,0,0,0,0,0
"T150",1,1,0,0,0,0
"T151",1,0,0,1,0,0
"T152",1,0,0,1,0,0
"T153",0,0,1,1,0,0
"T154",0,0,0,1,0,0
"T155",0,1,0,0,0,0
"T156",0,0,0,0,0,0
"T157",0,0,1,0,0,0
"T158",1,0,0,0,0,0
"T159",0,0,0,0,0,0
"T160",1,0,1,0,0,0
"T161",0,0,0,1,0,0
"T162",1,0,0,1,0,0
"T163",0,0,1,1,0,0
"T164",0,0,1,0,0,0
"T165",0,1,1,0,0,0
"T166",0,1,1,0,0,0
"T167",0,0,1,0,0,0
"T168",1,0,1,0,0,0
"T169",1,0,1,0,0,0
"T170",0,0,0,0,0,0
"T171",1,1,0,0,0,0
"T172",1,1,0,0,0,0
"T173",0,0,0,1,0,0
"T174",0,0,0,1,0,0
"T175",0,0,1,1,0,0
"T176",0,0,1,1,0,0
"T177",1,0,0,0,0,0
"T178",0,0,1,0,0,0
"T179",1,0,0,0,0,0
"T180",0,1,1,0,0,0
"T181",0,1,1,0,0,0
"T182",0,1,1,0,0,0
"T183",1,0,0,0,0,0
"T184",0,1,0,0,0,0
"T185",0,1,1,0,0,0
"T186",1,0,0,0,0,0
"T187",0,1,1,0,0,0
"T188",1,1,0,0,0,0
"T189",1,0,0,0,0,0
"T190",0,0,0,1,1,0
"T191",0,1,0,1,0,0
"T192",0,0,0,1,0,0
"T193",1,0,0,1,0,0
"T194",0,0,1,1,0,0
"T195",0,1,1,1,0,0
"T196",0,0,1,1,0,0
"T197",1,0,0,1,0,0
"T198",0,1,0,0,0,0
"T199",1,0,0,0,0,0
"T200",1,1,0,0,0,0
"T201",1,1,0,0,0,0
"T202",1,0,0,0,0,0
"T203",1,0,0,0,0,0
"T204",0,0,1,0,0,0
"T205",1,0,0,0,0,0
"T206",0,1,0,0,0,0
"T207",0,0,1,0,0,0
"T208",0,0,1,0,0,0
"T209",1,0,0,0,0,0
"T210",1,0,0,0,0,0
"T211",1,0,1,0,0,0
"T212",0,1,1,0,0,0
"T213",0,0,0,1,0,0
"T214",0,0,1,1,0,0
"T215",1,0,0,1,0,0
"T216",0,0,1,1,0,0
"T217",0,0,1,1,0,0
"T218",0,1,0,1,0,0
"T219",0,1,0,1,0,0
"T220",0,1,1,1,0,0
"T221",0,0,0,1,0,0
"T222",0,1,1,0,0,0
"T223",0,0,1,0,0,0
"T224",0,0,1,0,0,0
"T225",1,0,0,0,0,0
"T226",1,0,0,0,0,0
"T227",0,1,1,0,0,0
