"Tipologia","intergeneracional","padrastros","suegros","nodos_aislados","monoparental","pareja_sin_hijos","Vertices","Aristas"
"T1",0,0,0,1,0,0,1,0
"T2",0,1,0,0,0,0,2,2
"T3",0,1,0,0,0,0,3,4
"T4",0,0,0,0,1,0,2,1
"T5",0,1,0,0,0,0,4,6
"T6",0,0,0,0,1,0,3,2
"T7",0,1,0,0,0,0,5,8
"T8",0,0,0,1,0,0,2,0
"T9",0,0,0,0,1,0,4,3
"T10",1,0,0,0,0,0,3,2
"T11",0,1,0,1,0,0,3,2
"T12",0,1,0,0,0,0,3,3
"T13",0,0,0,1,1,0,3,1
"T14",0,1,0,0,0,0,4,5
"T15",1,1,0,0,0,0,4,5
"T16",0,1,0,1,0,0,4,4
"T17",1,0,0,0,0,0,4,3
"T18",1,1,1,0,0,0,4,5
"T19",1,0,0,0,0,0,4,3
"T20",0,1,1,0,0,0,3,3
"T21",0,0,0,1,0,0,3,0
"T22",1,1,0,0,0,0,5,7
"T23",1,1,1,0,0,0,5,7
"T24",0,1,0,0,0,0,6,10
"T25",0,1,0,0,0,0,4,4
"T26",0,0,0,1,1,0,4,2
"T27",0,0,0,0,1,0,5,4
"T28",0,1,0,0,0,0,5,7
"T29",0,1,0,1,0,0,5,6
"T30",0,1,0,1,0,0,4,2
"T31",1,1,0,0,0,0,5,6
"T32",1,0,0,0,0,0,5,4
"T33",0,0,0,1,1,0,4,1
"T34",1,1,1,0,0,0,5,8
"T35",0,1,1,0,0,0,4,6
"T36",1,0,0,0,0,0,5,4
"T37",0,1,0,0,0,0,5,6
"T38",1,0,0,0,0,0,5,4
"T39",1,1,1,0,0,0,6,9
"T40",1,1,1,0,0,0,6,10
"T41",1,0,0,1,0,0,4,2
"T42",1,1,0,0,0,0,6,9
"T43",0,1,0,1,0,0,6,8
"T44",1,1,1,0,0,0,6,10
"T45",0,0,0,1,0,0,4,0
"T46",0,1,0,0,0,0,5,5
"T47",1,1,0,0,0,0,6,8
"T48",1,1,0,0,0,0,4,4
