"tipologia","Edad_promedio_jefe","Desviacion_edad_jefe","%_mujer_jefe","%_hombre_jefe","%_Urbano","%_Rural","%_Norte","%_Centro","%_Sur","%_Hogares_con_extranjero","%_Hogares_con_indigena","Ingreso_mediano","Q1","Q3","%_Hombres_promedio","Edad_promedio_hogar","Desviacion_edad_hogar","Tasa_desocupacion_promedio","Tasa_inactividad_promedio","%_Enfermos_promedio","Max_escolaridad_promedio","%_Hacinamiento_sin","%_Hacinamiento_medio","%_Hacinamiento_alto","%_Hacinamiento_critico","%_Pobreza_extrema","%_Pobreza_no_extremo","%_No_pobre","%_Multigeneracional","%_Sin_generacion_intermedia","%_Sin_adultos_mayores","%_Sin_menores_15","%_Solo_menores_15","%_Solo_15_64","%_Solo_mayores_64","%_Allegamiento_interno","%_Allegamiento_externo"
"T1",58.1,17,55.6,44.4,91,9,18.9,48.8,32.4,4.4,10.8,272000,153980,559083.5,44.4,58.1,NA,0.055,0.474,54.1,10.6,0,0,0,0,0,0,0,0,0,0,0,0,59.4,40.6,0,4.3
"T2",59.2,16.3,28.1,71.9,90.2,9.8,17.3,49.8,32.9,7.2,14.4,250000,164365,468833,50.3,58.5,3.5,0.06,0.525,54,11.7,0,0,0,0,0,0,0,0,0,0,16.2,0,49.9,33.9,0,3.4
"T3",51.5,15.1,24.9,75.1,89.8,10.2,18,48.7,33.3,8.6,16.4,235065.333333333,138826.666666667,416944.666666667,52,40.4,18.6,0.093,0.385,32.6,14,0,0,0,0,0,0,0,0.3,0,40.1,22.6,0,36.9,0.1,1,2.8
"T4",54.3,16.2,82.5,17.5,91.3,8.7,19,48.1,32.9,4.3,15.7,209969.75,123025.75,358993.25,35.7,41.8,21,0.107,0.422,39.1,13.1,0,0,0,0,0,0,0,0,0,23.2,28.5,0,46.4,1.9,6,3.7
"T5",46.7,11.3,22.5,77.5,90.6,9.4,18.5,48.3,33.2,7.5,17.6,206518.75,123453.875,395438.25,52.2,30.6,18,0.091,0.381,22.6,14.6,0,0,0,0,0,0,0,0.3,0,63.2,7.1,0,29.4,0,0.3,1.8
"T6",46.8,13.3,91,9,92.7,7.3,21.2,47.7,31,5.5,18.5,156257.333333333,100380.666666667,253427.666666667,38.3,28.7,16.9,0.121,0.426,26.9,13.5,0,0,0,0,0,0,0,0,0,54.3,10.3,0,35.1,0.3,3.1,2.7
"T7",45.5,9.4,21,79,90.9,9.1,20.8,47.8,31.4,8.6,20,166969.3,102246.25,299489.3,52.2,26.5,17.1,0.093,0.435,17.8,14.4,0,0,0,0,0,0,0,0.5,0,77.9,3.3,0,18.2,0,0.3,1.5
"T8",59.7,17.9,65.7,34.3,91.1,8.9,17.3,48.9,33.8,6.4,14.4,211250,125000,379750,44.1,51.1,16,0.08,0.532,44.6,12.3,0,0,0,0,0,0,0,0,1.9,3.2,37.6,0,43.1,14.2,67.4,2.7
"T9",44,10.7,92.8,7.2,93,7,23.5,48.4,28.2,5.4,24.3,119309,79576,189958.25,42.6,23.4,14.7,0.134,0.49,21.6,13.5,0,0,0,0,0,0,0,0.1,0,73.3,4.2,0,22.2,0.1,1.4,3.1
"T10",59.1,14.9,85.4,14.6,91.6,8.4,19.4,48.3,32.3,3.5,18.2,182697,115380.666666667,276406,28.1,41.2,27.5,0.121,0.509,40,13.8,0,0,0,0,0,0,0,20.7,0,34.5,39.9,0,4.9,0,88.6,2
"T11",62.4,15.1,25.4,74.6,90.8,9.2,17.2,46.1,36.7,9.1,15.7,179380,123888.666666667,293611,50.3,51.9,19.9,0.116,0.582,44.8,12.4,0,0,0,0,0,0,0,4.5,2.4,9.2,50.3,0,26.2,7.4,41.6,2.6
"T12",48.9,14.1,41.5,58.5,92.1,7.9,22.2,50.6,27.2,13,19.5,262798.5,152762.166666667,431887.916666667,51.5,38.8,16.4,0.118,0.324,29.7,13.8,0,0,0,0,0,0,0,0.1,0,33.9,18,0,48,0,0.2,2.2
"T13",57.4,16.1,79.9,20.1,92.8,7.2,18.8,47.7,33.4,7.2,20.9,178705.333333333,116944.333333333,288829.333333333,39.8,42.3,21.9,0.128,0.487,37,13.6,0,0,0,0,0,0,0,10.7,0.3,23.2,37.7,0,27.4,0.7,65.8,2.5
"T14",40.2,10.3,35.4,64.6,90.7,9.3,22.3,47.6,30.1,12.6,24.3,197380.25,134208.75,349687.5,51.7,25.8,16.6,0.091,0.315,20.1,14.1,0,0,0,0,0,0,0,0.8,0,86.9,2.9,0,9.4,0,0,2.6
"T15",64,11,24.2,75.8,89.1,10.9,14.7,53.1,32.2,2.9,17.3,196466.625,125901.1875,292694.25,40.7,43.7,26.6,0.106,0.52,41.1,14.1,0,0,0,0,0,0,0,34.4,0,40.8,22.3,0,2.4,0,100,1.7
"T16",56.1,15.6,27.3,72.7,91.4,8.6,17.5,49.5,33,11.9,21.7,184559,118482,296588.625,53,41.6,21,0.117,0.497,33.5,13.6,0,0,0,0,0,0,0,13.2,0,30.7,33.6,0,22.5,0,47,2.5
"T17",55.3,15.9,89,11,92.3,7.7,22.3,48.8,28.9,6.6,20.5,142131.25,96750,207410.75,32.2,34,27.2,0.117,0.553,31.3,13.7,0,0,0,0,0,0,0,38.2,0,35.8,24.5,0,1.5,0,82.8,2.2
"T18",53,14.2,43.8,56.2,90.4,9.6,15.8,50.5,33.8,8.9,20.5,220350.625,135599.125,343604.8125,42.6,42.8,24.1,0.111,0.454,34.6,14.3,0,0,0,0,0,0,0,23.3,0,32.2,43.6,0,0.9,0,78.3,1.4
"T19",57.9,13.2,86.6,13.4,94.4,5.6,23.5,48,28.5,2.4,20.9,152004.25,98687.25,244107.75,35.9,33.8,21.6,0.139,0.465,28.5,13.8,0,0,0,0,0,0,0,11.3,0,62.8,21.4,0,4.5,0,100,1.6
"T20",59.3,15.1,50,50,90.7,9.3,22.4,47.1,30.5,9.8,13.3,236337.166666667,161574.583333333,371750,40.7,56.9,16.2,0.115,0.517,48.2,13,0,0,0,0,0,0,0,0,0,0,62.4,0,27.4,10.2,84.3,2.4
"T21",56.8,18.1,64,36,91.6,8.4,21.7,49.9,28.5,11.2,16.4,185833.333333333,106548.666666667,341955.666666667,47.5,44.7,15.3,0.1,0.523,34.3,12.9,0,0,0,0,0,0,0,2.9,1.3,7.8,37.9,0,44.1,6,73.4,2.1
"T22",57.6,10.2,24.4,75.6,89.3,10.7,18.9,49.6,31.5,2.2,17,186005.6,116000,291020.6,44.3,35.4,22.4,0.135,0.42,30,14.3,0,0,0,0,0,0,0,21.6,0,69.3,6.8,0,2.2,0,100,1.4
"T23",51.6,14.1,40.1,59.9,91.7,8.3,23.5,47.9,28.7,8,18.3,198416.6,129000,317687,46.1,36.3,24.8,0.093,0.471,29.6,14.6,0,0,0,0,0,0,0,45.3,0,28.1,26.1,0,0.6,0,72.8,0.9
"T24",46,8.5,23.1,76.9,91.7,8.3,21.8,45.5,32.7,9.6,27.1,142499.666666667,84194.5833333333,263229,51.5,25,16.4,0.113,0.49,14,14.3,0,0,0,0,0,0,0,0.3,0,80.9,2.3,0,16.5,0,0,1.7
"T25",45.3,11.6,51,49,94.7,5.3,25.5,41.4,33.1,15.6,19.2,210000,125322.9375,342239.5625,50.5,30.9,16.7,0.118,0.333,21,14.1,0,0,0,0,0,0,0,0.3,0,57,8.9,0,33.8,0,0.3,1.7
