"Tipologia","Variable","Chi2","df","p_value","Min_esperado","Cramer_V"
"T1","region",46.419,15,0,275.8489,0.017
"T1","rural_cat",6.4289,2,0.0402,179.5413,0.0063
"T1","qaut",2017.6391,4,0,1652.812,0.1122
"T2","region",165.9565,15,0,479.2446,0.0322
"T2","rural_cat",41.6342,2,0,311.925,0.0161
"T2","qaut",1172.5618,4,0,2871.5038,0.0856
"T3","region",112.7579,15,0,536.2975,0.0265
"T3","rural_cat",50.1756,2,0,349.059,0.0177
"T3","qaut",1117.6618,4,0,3213.3495,0.0835
"T4","region",79.5267,15,0,351.9461,0.0223
"T4","rural_cat",2.7074,2,0.2583,229.0705,0.0041
"T4","qaut",314.4917,4,0,2108.7656,0.0443
"T5","region",144.4214,15,0,573.987,0.03
"T5","rural_cat",15.1706,2,5e-04,373.5899,0.0097
"T5","qaut",621.9951,4,0,3439.1748,0.0623
"T6","region",94.8775,15,0,309.2029,0.0243
"T6","rural_cat",13.4738,2,0.0012,201.2503,0.0092
"T6","qaut",960.7618,4,0,1852.6602,0.0775
"T7","region",136.6558,15,0,228.4777,0.0292
"T7","rural_cat",4.6441,2,0.0981,148.7089,0.0054
"T7","qaut",187.9406,4,0,1368.9764,0.0343
"T8","region",59.2789,15,0,87.0822,0.0192
"T8","rural_cat",2.508,2,0.2854,56.679,0.004
"T8","qaut",100.0249,4,0,520.1792,0.025
"T9","region",126.2831,15,0,146.5023,0.0281
"T9","rural_cat",42.4152,2,0,95.3537,0.0163
"T9","qaut",2030.6012,4,0,877.8024,0.1126
"T10","region",63.913,15,0,84.0234,0.02
"T10","rural_cat",7.522,2,0.0233,54.6882,0.0069
"T10","qaut",177.9408,4,0,503.4455,0.0333
"T11","region",106.4613,15,0,72.533,0.0258
"T11","rural_cat",12.3193,2,0.0021,47.2094,0.0088
"T11","qaut",99.8745,4,0,433.3233,0.025
"T12","region",101.5794,15,0,66.3889,0.0252
"T12","rural_cat",7.3486,2,0.0254,43.2104,0.0068
"T12","qaut",230.8682,4,0,397.7841,0.038
"T13","region",35.953,15,0.0018,54.6591,0.015
"T13","rural_cat",3.6903,2,0.158,35.5759,0.0048
"T13","qaut",82.5783,4,0,326.5463,0.0227
"T14","region",107.6173,15,0,70.0062,0.0259
"T14","rural_cat",0.9111,2,0.6341,45.5648,0.0024
"T14","qaut",161.302,4,0,419.4582,0.0317
"T15","region",134.9516,15,0,61.4948,0.029
"T15","rural_cat",48.0515,2,0,40.025,0.0173
"T15","qaut",110.2433,4,0,368.4602,0.0262
"T16","region",60.448,15,0,50.962,0.0194
"T16","rural_cat",9.4849,2,0.0087,33.1695,0.0077
