"Cluster","Categoria","Conteo","Porcentaje","std_residual","Variable"
"Cluster 1","Urbano",22376,80.8498337910103,4.40633402136543,"rural_cat"
"Cluster 2","Urbano",7102,78.8322788322788,-3.22469141816361,"rural_cat"
"Cluster 3","Urbano",11169,79.0054467001486,-3.67391017907333,"rural_cat"
"Cluster 4","Urbano",4941,80.9071557229409,1.70829941496847,"rural_cat"
"Cluster 5","Urbano",1425,80.1462317210349,0.0702150432530206,"rural_cat"
"Cluster 1","Mixto",4826,17.4374909669027,-4.07736376700802,"rural_cat"
"Cluster 2","Mixto",1705,18.9255189255189,2.14672017682437,"rural_cat"
"Cluster 3","Mixto",2722,19.2544387069392,4.00481013180153,"rural_cat"
"Cluster 4","Mixto",1068,17.488128377272,-1.36258967978795,"rural_cat"
"Cluster 5","Mixto",319,17.9415073115861,-0.2027473824351,"rural_cat"
"Cluster 1","Rural",474,1.71267524208701,-1.42483624595096,"rural_cat"
"Cluster 2","Rural",202,2.24220224220224,3.47160203392236,"rural_cat"
"Cluster 3","Rural",246,1.74011459291222,-0.567714966399438,"rural_cat"
"Cluster 4","Rural",98,1.60471589978713,-1.18533275775992,"rural_cat"
"Cluster 5","Rural",34,1.91226096737908,0.376993100904455,"rural_cat"
"Cluster 1","Q1",6105,22.0588235294118,11.7715563621566,"sueldo_cat"
"Cluster 2","Q1",1138,12.6318126318126,-19.0049339748561,"sueldo_cat"
"Cluster 3","Q1",2732,19.3251750725048,-2.30559118024759,"sueldo_cat"
"Cluster 4","Q1",1481,24.250859669232,8.7714230478094,"sueldo_cat"
"Cluster 5","Q1",286,16.0854893138358,-4.19147217817334,"sueldo_cat"
"Cluster 1","Q2",5516,19.9306258129788,-0.402698205448389,"sueldo_cat"
"Cluster 2","Q2",1411,15.6621156621157,-11.1898881612791,"sueldo_cat"
"Cluster 3","Q2",2940,20.7964914762679,2.71367259418969,"sueldo_cat"
"Cluster 4","Q2",1489,24.3818568855412,9.04179384745457,"sueldo_cat"
"Cluster 5","Q2",386,21.7097862767154,1.8291860522385,"sueldo_cat"
"Cluster 1","Q3",5152,18.615406850701,-7.91685496031034,"sueldo_cat"
"Cluster 2","Q3",2168,24.0648240648241,10.4851315207604,"sueldo_cat"
"Cluster 3","Q3",2657,18.7946523307632,-4.10974221378589,"sueldo_cat"
"Cluster 4","Q3",1323,21.6636646471263,3.43522513468244,"sueldo_cat"
"Cluster 5","Q3",441,24.8031496062992,5.14253573439851,"sueldo_cat"
"Cluster 1","Q4",5328,19.2513368983957,-4.27893095810352,"sueldo_cat"
"Cluster 2","Q4",1962,21.7782217782218,4.58787564090677,"sueldo_cat"
"Cluster 3","Q4",2904,20.541840560232,1.85082388318932,"sueldo_cat"
"Cluster 4","Q4",1153,18.8799738005567,-2.31033785597367,"sueldo_cat"
