"Nodos","fingerprints","Frecuencia"
2,"0:2|",1653
2,"1:2|1:1",6507
2,"2:2|1:2",8888
3,"0:3|",384
3,"1:1,2:1,3:1|1:3",1243
3,"1:2,0:1|1:1",709
3,"1:2,2:1|1:2",4868
3,"2:2,0:1|1:2",925
3,"3:2,2:1|1:4",6643
4,"0:1,1:1,2:1,3:1|1:3",123
4,"0:2,1:2|1:1",148
4,"0:2,2:2|1:2",206
4,"0:4|",91
4,"1:1,2:1,3:1,4:1|1:5",1086
4,"1:2,0:1,2:1|1:2",402
4,"1:2,2:1,4:1|1:4",350
4,"1:2,2:2|1:3",531
4,"1:2,3:2|1:4",59
4,"1:3,3:1|1:3",1811
4,"1:4|1:2",52
4,"2:2,1:1,3:1|1:4",155
4,"2:2,3:2|1:5",18
4,"2:2,4:2|1:6",5362
4,"2:3,6:1|1:6",7
4,"2:4|1:4",30
4,"3:2,0:1,2:1|1:4",496
4,"3:2,2:1,4:1|1:6",137
4,"3:3,1:1|1:5",576
5,"0:1,1:1,2:1,3:1,4:1|1:5",55
5,"0:2,1:1,2:1,3:1|1:3",20
5,"0:2,1:2,2:1|1:2",41
5,"0:2,3:2,2:1|1:4",59
5,"0:3,1:2|1:1",26
5,"0:3,2:2|1:2",30
5,"0:5|",11
5,"1:2,0:1,2:1,4:1|1:4",25
5,"1:2,2:1,3:1,5:1|1:6",171
5,"1:2,2:2,0:1|1:3",62
5,"1:2,2:2,4:1|1:5",39
5,"1:2,3:2,0:1|1:4",3
5,"1:2,3:2,2:1|1:5",89
5,"1:2,3:2,4:1|1:6",226
5,"1:2,4:2,2:1|1:6",37
5,"1:3,0:1,3:1|1:3",111
5,"1:3,2:1,3:1|1:4",300
5,"1:3,2:1,5:1|1:5",103
5,"1:3,3:1,4:1|1:5",37
5,"1:4,0:1|1:2",9
5,"1:4,2:1|1:3",40
5,"1:4,4:1|1:4",421
5,"2:2,0:1,1:1,3:1|1:4",19
5,"2:2,1:1,3:1,4:1|1:6",117
5,"2:2,1:1,3:1,6:1|1:7",2
5,"2:2,1:1,4:1,5:1|1:7",600
5,"2:2,3:2,0:1|1:5",2
5,"2:2,3:2,4:1|1:7",25
5,"2:2,3:2,6:1|1:8",11
5,"2:2,4:2,0:1|1:6",256
5,"2:3,1:1,3:1|1:5",22
5,"2:3,1:2|1:4",68
5,"2:3,3:1,7:1|1:8",4
5,"2:3,3:2|1:6",18
5,"2:3,5:2|1:8",1707
5,"2:4,0:1|1:4",5
5,"3:2,0:1,2:1,4:1|1:6",12
5,"3:2,1:1,2:1,5:1|1:7",17
5,"3:3,0:1,1:1|1:5",37
5,"3:3,1:1,2:1|1:6",8
5,"3:3,1:1,4:1|1:7",8
5,"3:3,2:1,5:1|1:8",137
5,"3:4,2:1|1:7",1
5,"4:2,1:1,2:1,3:1|1:7",375
5,"4:3,2:2|1:8",65
6,"0:2,1:1,2:1,3:1,4:1|1:5",7
6,"0:2,1:2,2:1,4:1|1:4",6
6,"0:2,1:2,2:2|1:3",3
6,"0:2,1:2,3:2|1:4",1
6,"0:2,2:2,1:1,3:1|1:4",2
6,"0:2,2:2,4:2|1:6",28
6,"0:2,3:2,2:1,4:1|1:6",2
6,"0:3,1:1,2:1,3:1|1:3",4
6,"0:3,1:2,2:1|1:2",9
6,"0:3,3:2,2:1|1:4",5
6,"0:4,1:2|1:1",1
6,"0:4,2:2|1:2",11
6,"0:6|",7
6,"1:2,0:1,2:1,3:1,5:1|1:6",8
6,"1:2,2:1,3:1,4:1,5:1|1:8",11
6,"1:2,2:2,0:1,4:1|1:5",6
6,"1:2,2:2,3:1,5:1|1:7",24
6,"1:2,2:2,3:2|1:6",15
6,"1:2,2:2,4:1,6:1|1:8",45
6,"1:2,2:2,4:2|1:7",21
6,"1:2,2:2,5:2|1:8",12
6,"1:2,3:2,0:1,2:1|1:5",8
6,"1:2,3:2,0:1,4:1|1:6",12
6,"1:2,3:2,2:1,4:1|1:7",30
6,"1:2,3:2,2:1,6:1|1:8",4
6,"1:2,3:2,4:2|1:8",28
6,"1:2,4:2,0:1,2:1|1:6",2
6,"1:3,0:1,2:1,3:1|1:4",27
6,"1:3,0:1,2:1,5:1|1:5",5
6,"1:3,0:1,3:1,4:1|1:5",3
6,"1:3,0:2,3:1|1:3",26
6,"1:3,2:1,3:1,4:1|1:6",29
6,"1:3,2:1,3:1,6:1|1:7",30
