Tipologia,p-valor (Ingreso),p-valor (Región),p-valor (Ruralidad),Efecto Rural (V Cramer)
T1,0,0.0105,0.1278,0.009052762470339166
T10,0,0.0947,0.2805,0.007115998316079438
T11,0,0.0027,0.334,0.0066093224332076355
T12,0,0.0017,0.3714,0.00628099486188349
T13,0,0.5863,0.4328,0.005775485270207342
T14,0.2627,0.0211,0.8524,0.0025221477082103673
T15,3e-4,0.0086,0.0091,0.013683700960550382
T16,0,0.5069,0.291,0.007012410894648887
T17,0,0.5721,0.0862,0.009880278527248883
T18,0.781,0.1171,0.7606,0.0033017107132309836
T19,0,0.2612,0.0027,0.015372032814135395
T2,0,0,0,0.021785680654905958
T20,0.0018,0.6512,0.9776,9.507919127011599e-4
T21,4e-4,0.5869,0.5448,0.004918737496628527
T22,0,0.1688,0.8575,0.0024744489509841774
T23,0.1462,0.1657,0.2501,0.007429997658325215
T24,0,0.0128,0.1717,0.00837792795557508
T25,0.4732,0.0675,0.0128,0.013171922814827283
T26,0,9e-4,0.987,7.225375124382497e-4
T27,0,1e-4,0.2689,0.007232445605277202
T28,0,0.2158,0.3278,0.006665666136479359
T29,0.5591,0.0028,0.5816,0.004646204767294078
T3,0,0.0278,0.003,0.015223242752793055
T30,0,0.3566,0.247,0.0074632126440193226
T31,0,0.5914,0.3597,0.006381576369184448
T32,0,8e-4,0.1549,0.008618721416744883
T33,0,0.0976,0.2204,0.00776089309247073
T34,0.1317,0.8765,0.5513,0.004870093627039042
T35,0.0769,0.1213,0.8269,0.0027515571875805747
T36,0,0.0025,0.1048,0.009479549707011174
T37,3e-4,0.1597,0.3889,0.006133010568753757
T38,0,0.2234,0.1899,0.008133928501133317
T39,0.0028,0.0055,0.4564,0.00558970023653103
T4,1e-4,0.0201,0.2775,0.007145239220967324
T40,0.0211,0.3154,0.7012,0.0037604997086793505
T41,0,0.6685,0.2511,0.00741865427491643
T42,0,0.2951,0.3309,0.006637487303451911
T43,0.1937,0.054,0.2437,0.00749896138838274
T44,0.0909,0.3924,0.3961,0.0060735120811387456
T45,3e-4,0.6337,0.1891,0.008145064868215916
T46,0.4688,0.0024,0.3311,0.006634855152103944
T47,0,0.0053,0.3547,0.006425324422304634
T48,0.675,0.8857,0.6847,0.003883981104165583
T5,0.7677,0.0019,0.1154,0.009274182952313033
T6,0,0.0011,0.0107,0.013437193328188345
T7,0,0.0052,0.8254,0.002764185005595909
T8,0.8754,0.0215,0.5644,0.004773475004102782
T9,0,0.0019,3e-4,0.017859996357596827
